Symbol,Date,Open,High,Low,Close,Adjusted_Close,Volume
IBM,4/15/2019,144.399994,144.460007,143.270004,143.899994,137.478348,3603200
IBM,4/16/2019,144.399994,145.389999,144.020004,145.139999,138.663025,6301700
IBM,4/17/2019,137.369995,141.979996,136.259995,139.110001,132.902115,12525700
IBM,4/18/2019,139,140.490005,138.699997,140.330002,134.067657,4960000
IBM,4/22/2019,139.419998,140.559998,138.479996,138.889999,132.691925,4494000
IBM,4/23/2019,139.149994,140.919998,138.940002,140.440002,134.172745,4462200
IBM,4/24/2019,140.600006,141.309998,139.779999,139.949997,133.704605,2774900
IBM,4/25/2019,139.699997,139.75,137.710007,138.630005,132.443527,2910100
IBM,4/26/2019,139.339996,139.889999,138.809998,139.440002,133.217377,2319800
IBM,4/29/2019,139.149994,139.630005,138.809998,139.050003,132.844788,2958300
IBM,4/30/2019,139.110001,140.440002,138.679993,140.270004,134.010345,4638800
IBM,5/1/2019,140.550003,141.809998,140.169998,140.559998,134.287384,3053700
IBM,5/2/2019,140.5,141.279999,139.410004,139.589996,133.360687,3541400
IBM,5/3/2019,139.699997,141,139.630005,140.25,133.991241,2579900
IBM,5/6/2019,138.300003,140.690002,137.899994,140.380005,134.115433,2793300
IBM,5/7/2019,139.149994,139.509995,136.190002,137.639999,131.497711,4726800
IBM,5/8/2019,137.770004,138.699997,137.130005,138,131.841644,3818900
IBM,5/9/2019,134.889999,135.580002,133.029999,135.339996,130.836243,4192700
IBM,5/10/2019,134.880005,135.75,132.419998,135.320007,130.816925,3977600
IBM,5/13/2019,133.279999,133.570007,130.960007,131.419998,127.046692,4958000
IBM,5/14/2019,131.820007,134.320007,131.679993,133.309998,128.873795,3280400
IBM,5/15/2019,132.589996,134.589996,132.369995,134.399994,129.927521,2551000
IBM,5/16/2019,134.740005,136.110001,134.639999,135.880005,131.358276,3017300
IBM,5/17/2019,134.679993,135.410004,133.940002,134.320007,129.850204,2619100
IBM,5/20/2019,133.529999,135.429993,132.929993,135.119995,130.623566,3264500
IBM,5/21/2019,136.119995,137.059998,135.789993,136.449997,131.909302,2503500
IBM,5/22/2019,136,136.75,135.710007,136.350006,131.812653,1849800
IBM,5/23/2019,135.130005,135.130005,130.440002,132.389999,127.984406,5343400
IBM,5/24/2019,133.529999,134.25,131.589996,132.279999,127.878067,2596100
IBM,5/28/2019,132.130005,132.639999,130.270004,130.460007,126.118652,4908800
IBM,5/29/2019,130,130.279999,128.320007,129.690002,125.374268,3679000
IBM,5/30/2019,129.740005,129.970001,128.929993,129.570007,125.258255,2741900
IBM,5/31/2019,128.440002,128.440002,126.849998,126.989998,122.764107,3539300
IBM,6/3/2019,127.099998,128.559998,127.059998,128.270004,124.001518,4266900
IBM,6/4/2019,129.559998,132.740005,129.089996,132.690002,128.274445,3913500
IBM,6/5/2019,133.380005,133.610001,130.470001,131.490005,127.11438,3161300
IBM,6/6/2019,132.190002,132.649994,130.899994,132.220001,127.820068,2298200
IBM,6/7/2019,132.470001,134.720001,132.210007,133.309998,128.873795,2553400
IBM,6/10/2019,134.380005,135.350006,133.910004,134.740005,130.25621,2911300
IBM,6/11/2019,135.320007,136.460007,135.050003,135.949997,131.425949,3407300
IBM,6/12/2019,135.559998,135.940002,134.410004,134.869995,130.381882,2254700
IBM,6/13/2019,135.130005,136.270004,135.089996,135.759995,131.242264,2955300
IBM,6/14/2019,135.440002,135.880005,134.429993,135.149994,130.652573,2193300
IBM,6/17/2019,135.389999,136.029999,134.699997,134.949997,130.459229,2194100
IBM,6/18/2019,135.199997,137.190002,135.199997,136.380005,131.841644,2914700
IBM,6/19/2019,136.429993,138.360001,136.240005,137.080002,132.518341,2382400
IBM,6/20/2019,138.929993,139.539993,138.199997,138.850006,134.229446,3071000
IBM,6/21/2019,138.440002,139.539993,138.389999,139.199997,134.56778,5288700
IBM,6/24/2019,139.199997,140.149994,139.050003,139.350006,134.712814,2186000
IBM,6/25/2019,139.460007,139.550003,138.130005,138.360001,133.755737,2801200
IBM,6/26/2019,138.869995,139.679993,138.410004,138.520004,133.910431,2284600
IBM,6/27/2019,138.720001,139.300003,137.949997,138.520004,133.910431,2149800
